1,2,3,4,5,49,49,49,49,49,49,49,49,49,49,49,49,49,44,43,42,41,40,39,38,37,36,35,34,33,32,19,20,21,22,23,24,25,26,27,28,29,30,31,36,36,36,36,36,36,36,36,36,36,36,36,36,23,23,23,23,23,23,23,23,23,23,23,23,23,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,50,50,50,50,50,50,50,50,50,50,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,19,30,29,22,23,24,25,26,27,28,37,37,37,37,37,37,37,37,37,37,37,37,37,24,24,24,24,24,24,24,24,24,24,24,24,24,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,51,51,51,51,51,51,51,51,51,51,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,22,23,24,25,26,27,28,38,38,38,38,38,38,38,38,38,38,38,38,38,25,25,25,25,25,25,25,25,25,25,25,25,25,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,52,52,52,52,52,52,52,52,52,52,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,22,23,24,25,26,27,28,39,39,31,39,39,39,39,39,39,39,39,39,39,26,26,26,26,26,26,26,26,26,26,26,26,26,68,69,26,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,53,53,53,53,53,53,53,53,53,53,53,53,53,44,43,42,41,40,39,38,37,36,35,34,33,32,19,20,21,22,23,24,25,26,27,28,29,30,31,40,40,40,40,40,40,40,40,40,40,40,40,40,27,27,27,27,27,27,27,27,27,27,27,27,27,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,54,54,54,54,54,54,54,54,54,54,54,54,54,44,43,42,41,40,39,38,37,36,35,34,33,32,19,20,21,22,23,24,25,26,27,28,29,30,31,41,41,41,41,41,41,41,41,41,41,41,41,41,28,28,28,28,28,28,28,28,28,28,28,28,28,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,55,55,55,55,55,55,55,55,55,55,55,55,55,44,43,42,41,40,50,51,52,36,35,34,33,32,19,20,21,22,23,42,42,42,27,28,29,30,31,42,42,42,42,42,55,55,55,42,42,42,42,42,29,29,29,29,29,63,64,65,29,29,29,29,29,71,72,73,74,75,13,12,11,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,56,56,56,56,56,56,56,56,56,56,56,56,56,44,43,42,41,40,50,51,52,36,35,34,33,32,19,20,21,22,23,43,43,43,27,28,29,30,31,43,43,43,43,43,56,56,56,43,43,43,43,43,30,30,30,30,30,63,64,65,30,30,30,30,30,71,72,73,74,75,13,12,11,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,57,57,57,57,57,57,57,57,57,57,57,57,57,44,43,42,41,40,50,51,52,36,35,34,33,32,19,20,21,22,23,44,44,44,27,28,29,30,31,44,44,44,44,44,57,57,57,44,44,44,44,44,31,31,31,31,31,63,64,65,31,31,31,31,31,71,72,73,74,75,13,12,78,79,80,81,82,83,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,58,58,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,45,45,45,45,45,45,45,45,45,45,45,45,45,58,58,58,58,58,58,58,58,58,58,58,58,58,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,59,59,59,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,46,46,46,46,46,46,46,46,46,46,46,46,46,59,59,59,59,59,59,59,59,59,59,59,59,59,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,60,60,60,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,47,47,47,47,47,47,47,47,47,47,47,47,47,60,60,60,60,60,60,60,60,60,60,60,60,60,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,48,48,48,48,48,48,48,48,48,48,48,48,48,61,61,61,61,61,61,61,61,61,61,61,61,61,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,49,49,49,49,49,49,49,49,49,49,49,49,49,62,62,62,62,62,62,62,62,62,62,62,62,62,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,42,43,18,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,50,50,50,50,50,50,50,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,61,62,63,64,65,66,67,68,69,70,71,72,73,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,51,51,51,51,51,51,51,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,61,62,63,64,65,66,67,68,69,70,71,72,73,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,52,52,52,52,52,52,52,65,65,52,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,61,62,63,64,65,66,67,68,69,70,71,72,73,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,53,53,53,53,53,53,53,53,53,53,53,53,53,66,66,66,66,66,66,66,66,66,66,66,66,66,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,45,46,47,48,49,50,51,52,53,54,55,56,57,54,54,54,54,54,54,54,54,54,54,54,54,54,67,67,67,67,67,67,67,67,67,67,67,67,67,58,59,60,61,62,63,64,65,66,67,68,69,70,18,17,16,15,14,13,12,11,10,9,8,7,6,84,85,86,87,88
