21,21,21,21,54,54,54,54,54,54,54,54,54,54,54,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,40,41,42,43,44,45,46,47,48,49,50,39,38,37,36,35,34,33,32,31,30,29,87,87,87,87,87,87,87,87,87,87,87,80,80,80,80,80,80,80,80,80,80,80,47,47,47,47,47,47,47,47,47,47,47,83,82,81,80,79,78,77,76,75,74,73,58,58,58,58,58,58,58,58,58,58,58,32,32,32,32,32,32,32,32,32,32,32,91,91,91,91,91,91,91,91,91,91,91,17,16,15,14,13,12,11,10,9,8,7,21,21,21,21,21
22,22,22,22,55,55,55,55,55,55,55,55,55,55,55,73,55,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,40,96,97,43,44,45,46,47,42,41,40,39,38,37,36,35,34,33,32,31,88,29,88,88,88,88,88,88,88,88,88,79,79,79,79,79,79,79,79,79,79,46,46,46,46,46,46,46,46,46,46,46,86,85,84,83,82,81,80,79,78,77,76,57,57,73,57,57,57,57,57,57,57,57,57,33,57,33,33,33,33,33,33,33,33,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,14,13,12,11,10,9,8,7,22,22,22,22,22
23,23,23,23,56,56,56,56,56,56,56,56,56,56,56,56,56,56,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,43,44,45,46,47,42,41,40,39,38,37,36,35,34,33,32,89,89,89,89,89,89,89,89,89,89,89,78,78,78,78,78,78,78,78,78,78,78,45,45,45,45,45,45,45,45,45,45,45,86,85,84,83,82,81,80,79,78,77,76,56,56,56,56,56,56,56,56,56,56,56,34,34,34,34,34,34,34,34,34,34,34,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,14,13,12,11,10,9,8,7,23,23,23,23,23
24,24,24,24,57,57,57,57,57,57,57,57,57,57,57,73,57,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,43,44,45,46,47,42,41,50,39,38,37,36,35,34,33,32,90,90,90,90,90,90,90,90,90,90,90,77,77,77,77,77,77,77,77,77,77,77,44,44,77,44,44,44,44,44,44,44,44,44,85,84,83,82,81,80,79,78,77,76,55,55,55,55,55,55,55,55,55,55,55,35,35,35,35,35,35,35,35,35,35,35,35,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,15,14,13,12,11,10,9,8,7,24,24,24,24,24
25,25,25,25,58,58,58,58,58,58,58,58,58,58,58,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,40,41,42,43,44,45,46,47,48,49,50,39,38,37,36,35,34,33,32,31,30,29,91,91,91,91,91,91,91,91,91,91,91,76,76,76,76,76,76,76,76,76,76,76,43,43,43,43,43,43,43,43,43,43,43,83,82,81,80,79,78,77,76,75,74,73,54,54,54,54,54,54,54,54,54,54,54,36,36,36,36,36,36,36,36,36,36,36,87,87,87,87,87,87,87,87,87,87,87,17,16,15,14,13,12,11,10,9,8,7,25,25,25,25,25
26,26,26,26,59,59,59,59,59,59,59,59,59,59,59,73,74,75,76,42,42,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,40,41,42,43,44,89,46,47,48,49,50,39,38,37,36,55,56,33,32,31,30,29,92,92,92,92,92,92,92,92,92,92,92,75,75,75,75,75,75,75,75,75,75,75,42,42,42,42,42,34,33,42,42,42,42,83,82,81,80,66,67,77,76,75,74,73,53,53,53,53,55,56,53,53,53,53,53,37,37,37,37,37,37,37,37,37,37,37,86,86,86,86,86,86,86,86,86,86,86,17,16,15,14,13,12,11,10,9,8,7,26,26,26,26,26
27,27,27,27,60,60,60,60,60,60,60,60,60,60,60,73,74,75,76,41,41,41,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,40,41,42,43,88,89,90,47,48,49,50,39,38,37,36,55,56,57,32,31,30,29,93,93,93,93,93,93,93,93,93,93,93,74,74,74,74,74,74,74,74,74,74,74,41,41,41,41,35,34,33,41,41,41,41,83,82,81,80,66,67,68,76,75,74,73,52,52,52,52,55,56,57,52,52,52,52,38,38,38,38,38,38,38,38,38,38,38,85,85,85,85,85,85,85,85,85,85,85,17,16,15,14,13,12,11,10,9,8,7,27,27,27,27,27
28,28,28,28,61,61,61,61,61,61,61,61,61,61,61,73,74,75,76,40,40,40,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,40,41,42,43,44,89,46,47,48,49,50,39,38,37,36,35,56,33,32,31,30,29,94,94,94,94,94,94,94,94,94,94,94,73,73,73,73,73,73,73,73,73,73,73,40,40,40,40,35,34,33,40,40,40,40,83,82,81,80,66,67,77,76,75,74,73,51,51,51,51,55,56,51,51,51,51,51,39,39,39,39,39,39,39,39,39,39,39,84,84,84,84,84,84,84,84,84,84,84,17,16,15,14,13,12,11,10,9,8,7,28,28,28,28,28
29,29,29,29,72,72,72,72,72,62,62,72,72,72,72,39,39,39,39,39,39,39,39,39,39,39,84,85,86,87,88,89,90,91,92,93,94,84,85,86,87,88,89,90,91,92,93,94,51,52,53,54,55,56,57,58,59,60,61,61,60,59,58,57,95,55,54,53,52,51,94,93,92,91,90,72,72,87,86,85,84,39,38,37,36,35,34,33,32,31,30,29,62,63,64,65,66,67,68,69,70,71,72,51,52,53,54,55,56,57,58,59,60,61,84,85,86,87,40,40,90,91,92,93,94,40,40,40,40,83,83,83,40,40,40,40,29,29,29,29,13,12,11,29,29,29,29,29,29,29,29,29
30,30,30,30,71,71,71,71,63,63,63,71,71,71,71,38,38,38,38,38,38,38,38,38,38,38,84,85,86,87,88,89,90,91,92,93,94,84,85,86,87,88,89,90,91,92,93,94,51,52,53,54,55,56,57,58,59,60,61,61,60,59,58,96,96,96,54,53,52,51,94,93,92,91,71,71,71,87,86,85,84,39,38,37,36,35,34,33,32,31,30,29,62,63,64,65,66,67,68,69,70,71,72,51,52,53,54,55,56,57,58,59,60,61,84,85,86,87,41,41,41,91,92,93,94,41,41,41,41,82,82,82,41,41,41,41,30,30,30,30,13,12,11,30,30,30,30,30,30,30,30,30
31,31,31,31,70,70,70,70,70,64,64,70,70,70,70,37,37,37,37,37,37,37,37,37,37,37,84,85,86,87,88,89,90,91,92,93,94,84,85,86,87,88,89,90,91,92,93,94,51,52,53,54,55,56,57,58,59,60,61,61,60,59,58,57,97,55,54,53,52,51,94,93,92,91,90,70,70,87,86,85,84,39,38,37,36,35,34,33,32,31,30,29,62,63,64,65,66,67,68,69,70,71,72,51,52,53,54,55,56,57,58,59,60,61,84,85,86,87,42,42,42,91,92,93,94,42,42,42,42,42,81,81,42,42,42,42,31,31,31,31,13,12,31,31,31,31,31,31,31,31,31,31
32,32,32,32,69,69,69,69,69,69,69,69,69,69,69,36,36,36,36,36,36,36,36,36,36,36,84,85,86,87,88,89,90,91,92,93,94,84,85,86,87,88,89,90,91,92,93,94,51,52,53,54,55,56,57,58,59,60,61,61,60,59,58,57,56,55,54,53,52,51,94,93,92,91,90,89,88,87,86,85,84,39,38,37,36,35,34,33,32,31,30,29,62,63,64,65,66,67,68,69,70,71,72,51,52,53,54,55,56,57,58,59,60,61,84,85,86,87,88,89,90,91,92,93,94,43,43,43,43,43,43,43,43,43,43,43,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
33,33,33,33,68,68,68,68,68,68,68,68,68,68,68,68,68,68,35,35,35,35,35,35,82,35,84,85,86,87,88,89,90,91,92,82,83,84,85,86,87,88,89,90,91,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,58,57,56,55,54,53,52,51,50,49,48,91,90,89,88,87,86,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,65,66,67,68,69,70,49,72,51,52,53,54,55,56,57,58,59,60,61,62,63,64,87,88,89,90,91,92,93,94,95,96,97,44,44,44,44,44,44,33,44,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
34,34,34,34,67,67,67,67,67,67,67,67,67,67,67,67,67,67,34,34,34,34,34,81,82,83,84,85,86,87,88,89,90,91,81,82,83,84,85,86,87,88,89,90,91,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,58,57,56,55,54,53,52,51,50,49,48,91,90,89,88,87,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,65,66,67,68,69,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,87,88,89,90,91,92,93,94,95,96,97,45,45,45,45,45,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
35,35,35,35,66,66,66,66,66,66,66,66,66,66,66,33,66,66,33,33,33,33,33,81,82,33,84,85,86,87,88,89,90,91,81,82,83,84,85,86,87,88,89,90,91,48,49,94,51,52,53,54,55,56,57,58,59,60,61,61,63,59,58,57,56,55,54,53,52,51,50,49,92,91,90,89,88,87,42,41,40,39,38,37,36,35,34,33,32,31,30,29,62,27,64,65,66,67,68,69,48,49,50,51,52,53,54,55,56,57,58,59,60,61,84,63,86,87,88,89,90,91,92,93,94,46,96,97,46,46,46,46,46,35,35,46,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
36,36,36,36,65,65,65,65,65,65,65,65,65,65,65,32,32,32,32,32,32,32,32,32,32,32,84,85,86,87,88,89,90,91,92,93,94,84,85,86,87,88,89,90,91,92,93,94,51,52,53,54,55,56,57,58,59,60,61,61,60,59,58,57,56,55,54,53,52,51,94,93,92,91,90,89,88,87,86,85,84,39,38,37,36,35,34,33,32,31,30,29,62,63,64,65,66,67,68,69,70,71,72,51,52,53,54,55,56,57,58,59,60,61,84,85,86,87,88,89,90,91,92,93,94,47,47,47,47,47,47,47,47,47,47,47,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
37,37,37,37,64,64,64,64,64,64,64,64,64,64,64,31,31,31,31,77,78,79,31,31,31,31,84,85,86,87,88,56,90,91,92,93,94,84,85,86,87,88,89,90,91,92,93,94,51,52,53,54,55,75,57,58,59,60,61,61,60,59,58,57,56,55,54,53,52,51,94,93,92,91,90,89,88,87,86,85,84,39,38,37,36,35,34,33,32,31,30,29,62,63,64,65,35,34,68,69,70,71,72,51,52,53,54,55,56,57,58,59,60,61,84,85,86,87,88,89,90,91,92,93,94,48,48,48,48,31,31,31,48,48,48,48,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
38,38,38,38,63,63,63,63,11,12,13,63,63,63,63,30,30,30,30,77,78,79,30,30,30,30,84,85,86,87,55,56,57,91,92,93,94,84,85,86,87,88,89,90,91,92,93,94,51,52,53,54,74,74,74,58,59,60,61,61,60,59,58,57,56,55,54,53,52,51,94,93,92,91,90,89,88,87,86,85,84,39,38,37,36,35,34,33,32,31,30,29,62,63,64,65,35,34,33,69,70,71,72,51,52,53,54,55,56,57,58,59,60,61,84,85,86,87,88,89,90,91,92,93,94,49,49,49,49,30,30,30,49,49,49,49,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
39,39,39,39,62,62,62,62,62,12,13,62,62,62,62,29,29,29,29,29,78,79,29,29,29,29,84,85,86,87,88,56,90,91,92,93,94,84,85,86,87,88,89,90,91,92,93,94,51,52,53,54,55,73,57,58,59,60,61,61,60,59,58,57,56,55,54,53,52,51,94,93,92,91,90,89,88,87,86,85,84,39,38,37,36,35,34,33,32,31,30,29,62,63,64,65,35,34,33,69,70,71,72,51,52,53,54,55,56,57,58,59,60,61,84,85,86,87,88,89,90,91,92,93,94,50,50,50,50,50,29,29,50,50,50,50,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
